NAME,,,,,,,
,,,,,,,
,,,,,,,
,MONDAY,TUESDAY,WEDNESDAY,THRUSDAY,FRIDAY,SATURDAY,SUNDAY
,Medu Vada Tomato Upma,Bedmi Puri,Idly with Sambar & Chutney,Indori Poha,Aloo Toast Sandwich (1),Masala Dosa,Aloo Paratha
,with Sambar & Chutney,Aloo sabzi,Milk Daliya (1 serving),Set Dosa with,Kesari Bath,Sambar & Chutney,Curd
Breakfast,Banana (1),Watermelon (1 Serving)***,Boilled Egg (1),Sambar & Chutney,Coconut Chuteney,Fruits,Boilled Egg (1)
,Bread Butter Jam,Bread Butter Jam,Bread Butter Jam,Bread Butter Jam,Bread Butter Jam,Bread Butter Jam,Bread Butter Jam
,"Tea, Coffee & Milk (150 Ml)","Tea,Coffee & Milk(150 Ml)","Tea, Coffee & Milk (150 Ml)","Tea, Coffee & Milk (150 Ml)","Tea, Coffee & Milk (150 Ml)","Tea, Coffee & Milk (150 Ml)","Tea, Coffee & Milk (150 Ml)"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Salad,Tossed Salad (1 serving),Salad,Corn Chaat (1 serving),Tomato Basil Soup (1 serving),Lacche Pyaaz,Salad
,Phulka,Phulka,Phulka,Phulka,Phulka,Batura,Phulka
,Kala Channa,Mix Veg Dry,Chana Dal,Soya Kheema Matar,Mix Veg Makhni,Chole Masala,Bhindi Do pyaaza
Lunch,Addon Vegetable,Dahi Vada (2),Gatte ki sabji,-,,,Dahi Tikki Chat (2)
,Dal Fry,Rajma,Dal Bhati Churma (2),Veg Ball Manchurian (4),Dal Makhni,,Moong Dal Tadka
,Steamed Rice,Jeera Rice,Rice,Burnt Garlic Veg Fried Rice,Jeera Rice,Tawa Pulao,Steamed Rice
,"Pickle, Curd, papad",Garlic Chutney,"Pickle , Curd","Pickle, Buttermilk, papad",Curd,Raita,papad
,-,-,,-,Moong Dal Halwa (1 serving),,-
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,Fryums,papad,Salad **,papad,Fryums,papad,Fryums
,Phulka,Dal ka parathe,Phulka,Phulka,lachha paratha,Methi Thepla,Roti
,Veg Kofta (3),Lobia Gravy,Paneer Tikka masala (6),Masala Bhindi,Egg Curry (2 eggs),Dum Aloo,veggies and hot garlic sause
Dinner,,,,Pani Puri (6 piece),Mix Veg Paneer Handi - 1 Serving,,
,Green Moong Dal Fry,Kadhi Pakoda,Chicken Tikka masala (3),Mix Dal,Dal Tur,pinto bean quesadilla (2),pepper chicken masala (3) and Malai kofta (3)
,Steamed Rice,Steamed Rice & Kichdi,"Steamed Rice , Dal Fry",Steamed Rice,Rice,Veg fried Rice,schezwan Fried Rice (live)
,Garlic Chutney,Pickle,Butter Milk,Garlic Chutney,Pickle,Pickle,"Buttermilk, Pickle"
,,,Shahi Tukra (2),,,Custard (1 serving),
